DATE,CSUSHPISA
1987-01-01,63.964
1987-02-01,64.423
1987-03-01,64.735
1987-04-01,65.132
1987-05-01,65.564
1987-06-01,66.072
1987-07-01,66.508
1987-08-01,66.938
1987-09-01,67.33
1987-10-01,67.737
1987-11-01,68.107
1987-12-01,68.505
1988-01-01,68.858
1988-02-01,69.263
1988-03-01,69.638
1988-04-01,69.976
1988-05-01,70.426
1988-06-01,70.889
1988-07-01,71.355
1988-08-01,71.8
1988-09-01,72.241
1988-10-01,72.63600000000001
1988-11-01,73.07300000000001
1988-12-01,73.464
1989-01-01,73.946
1989-02-01,74.382
1989-03-01,74.778
1989-04-01,75.085
1989-05-01,75.307
1989-06-01,75.48
1989-07-01,75.658
1989-08-01,75.835
1989-09-01,76.056
1989-10-01,76.283
1989-11-01,76.52199999999999
1989-12-01,76.705
1990-01-01,76.89699999999999
1990-02-01,77.053
1990-03-01,77.20100000000001
1990-04-01,77.277
1990-05-01,77.296
1990-06-01,77.258
1990-07-01,77.138
1990-08-01,77.009
1990-09-01,76.85
1990-10-01,76.699
1990-11-01,76.37100000000001
1990-12-01,76.184
1991-01-01,75.916
1991-02-01,75.735
1991-03-01,75.57
1991-04-01,75.565
1991-05-01,75.765
1991-06-01,75.993
1991-07-01,76.083
1991-08-01,76.109
1991-09-01,76.194
1991-10-01,76.075
1991-11-01,76.015
1991-12-01,76.056
1992-01-01,76.086
1992-02-01,76.155
1992-03-01,76.27600000000001
1992-04-01,76.346
1992-05-01,76.399
1992-06-01,76.332
1992-07-01,76.264
1992-08-01,76.23
1992-09-01,76.23899999999999
1992-10-01,76.376
1992-11-01,76.559
1992-12-01,76.675
1993-01-01,76.78399999999999
1993-02-01,76.837
1993-03-01,76.868
1993-04-01,76.937
1993-05-01,77.038
1993-06-01,77.243
1993-07-01,77.429
1993-08-01,77.613
1993-09-01,77.795
1993-10-01,77.942
1993-11-01,78.149
1993-12-01,78.32600000000001
1994-01-01,78.592
1994-02-01,78.72800000000001
1994-03-01,78.85600000000001
1994-04-01,78.987
1994-05-01,79.222
1994-06-01,79.423
1994-07-01,79.596
1994-08-01,79.782
1994-09-01,79.92
1994-10-01,80.065
1994-11-01,80.15
1994-12-01,80.297
1995-01-01,80.42699999999999
1995-02-01,80.529
1995-03-01,80.6
1995-04-01,80.661
1995-05-01,80.703
1995-06-01,80.786
1995-07-01,80.938
1995-08-01,81.111
1995-09-01,81.307
1995-10-01,81.483
1995-11-01,81.62
1995-12-01,81.737
1996-01-01,81.835
1996-02-01,81.954
1996-03-01,82.195
1996-04-01,82.421
1996-05-01,82.611
1996-06-01,82.75299999999999
1996-07-01,82.929
1996-08-01,83.087
1996-09-01,83.257
1996-10-01,83.37799999999999
1996-11-01,83.553
1996-12-01,83.72200000000001
1997-01-01,83.956
1997-02-01,84.181
1997-03-01,84.45299999999999
1997-04-01,84.62299999999999
1997-05-01,84.86200000000001
1997-06-01,85.081
1997-07-01,85.33200000000001
1997-08-01,85.574
1997-09-01,85.851
1997-10-01,86.147
1997-11-01,86.632
1997-12-01,87.09299999999999
1998-01-01,87.616
1998-02-01,88.00299999999999
1998-03-01,88.44200000000001
1998-04-01,88.87899999999999
1998-05-01,89.36399999999999
1998-06-01,89.845
1998-07-01,90.31
1998-08-01,90.786
1998-09-01,91.259
1998-10-01,91.71799999999999
1998-11-01,92.2
1998-12-01,92.712
1999-01-01,93.208
1999-02-01,93.67200000000001
1999-03-01,94.21799999999999
1999-04-01,94.785
1999-05-01,95.345
1999-06-01,95.976
1999-07-01,96.59200000000001
1999-08-01,97.219
1999-09-01,97.863
1999-10-01,98.523
1999-11-01,99.155
1999-12-01,99.845
2000-01-01,100.552
2000-02-01,101.339
2000-03-01,102.12700000000001
2000-04-01,102.92299999999999
2000-05-01,103.678
2000-06-01,104.42399999999999
2000-07-01,105.055
2000-08-01,105.76899999999999
2000-09-01,106.538
2000-10-01,107.383
2000-11-01,108.302
2000-12-01,109.14
2001-01-01,109.846
2001-02-01,110.5
2001-03-01,111.109
2001-04-01,111.65100000000001
2001-05-01,112.164
2001-06-01,112.796
2001-07-01,113.491
2001-08-01,114.16799999999999
2001-09-01,114.81200000000001
2001-10-01,115.31
2001-11-01,115.85600000000001
2001-12-01,116.455
2002-01-01,117.14399999999999
2002-02-01,117.845
2002-03-01,118.68700000000001
2002-04-01,119.61
2002-05-01,120.72399999999999
2002-06-01,121.81299999999999
2002-07-01,122.889
2002-08-01,123.831
2002-09-01,124.78
2002-10-01,125.734
2002-11-01,126.669
2002-12-01,127.62200000000001
2003-01-01,128.461
2003-02-01,129.356
2003-03-01,130.148
2003-04-01,130.884
2003-05-01,131.735
2003-06-01,132.649
2003-07-01,133.77700000000002
2003-08-01,134.968
2003-09-01,136.29399999999998
2003-10-01,137.533
2003-11-01,138.795
2003-12-01,140.18
