,DATE,CSUSHPISA,MORTGAGE30US,CASTHPI,CPIAUCSL,CAUR,CAPCPI,CSUSHPISA/CPIAUCSL
2415,1984-04-20,0.0,0.6896120150187736,0.08954208341838472,0.20736407264668252,0.3252032520325204,0.12849837555908447,0.13305897820877766
2416,1984-04-13,0.0,0.683979974968711,0.08954208341838472,0.20736407264668252,0.3252032520325204,0.12849837555908447,0.13305897820877766
2417,1984-04-06,0.0,0.6871088861076347,0.08954208341838472,0.20736407264668252,0.3252032520325204,0.12849837555908447,0.13305897820877766
2418,1984-04-01,0.0,0.6871088861076347,0.08776167471819644,0.20654928257734392,0.3333333333333334,0.12849837555908447,0.13479352967050984
2419,1984-03-30,0.0,0.6821026282853568,0.08776167471819644,0.20654928257734392,0.3333333333333334,0.12849837555908447,0.13479352967050984
2420,1984-03-23,0.0,0.6777221526908637,0.08776167471819644,0.20654928257734392,0.3333333333333334,0.12849837555908447,0.13479352967050984
2421,1984-03-16,0.0,0.6708385481852316,0.08776167471819644,0.20654928257734392,0.3333333333333334,0.12849837555908447,0.13479352967050984
2422,1984-03-09,0.0,0.6664580725907385,0.08776167471819644,0.20654928257734392,0.3333333333333334,0.12849837555908447,0.13479352967050984
2423,1984-03-02,0.0,0.6620775969962454,0.08776167471819644,0.20654928257734392,0.3333333333333334,0.12849837555908447,0.13479352967050984
2424,1984-03-01,0.0,0.6620775969962454,0.08776167471819644,0.20491970243866667,0.34146341463414637,0.12849837555908447,0.13828286059935857
2425,1984-02-24,0.0,0.6633291614518149,0.08776167471819644,0.20491970243866667,0.34146341463414637,0.12849837555908447,0.13828286059935857
2426,1984-02-17,0.0,0.6595744680851064,0.08776167471819644,0.20491970243866667,0.34146341463414637,0.12849837555908447,0.13828286059935857
2427,1984-02-10,0.0,0.6620775969962454,0.08776167471819644,0.20491970243866667,0.34146341463414637,0.12849837555908447,0.13828286059935857
2428,1984-02-03,0.0,0.6639549436795995,0.08776167471819644,0.20491970243866667,0.34146341463414637,0.12849837555908447,0.13828286059935857
2429,1984-02-01,0.0,0.6639549436795995,0.08776167471819644,0.20369751733465866,0.3495934959349593,0.12849837555908447,0.1409177135595201
2430,1984-01-27,0.0,0.6658322903629537,0.08776167471819644,0.20369751733465866,0.3495934959349593,0.12849837555908447,0.1409177135595201
2431,1984-01-20,0.0,0.6695869837296621,0.08776167471819644,0.20369751733465866,0.3495934959349593,0.12849837555908447,0.1409177135595201
2432,1984-01-13,0.0,0.6727158948685859,0.08776167471819644,0.20369751733465866,0.3495934959349593,0.12849837555908447,0.1409177135595201
2433,1984-01-06,0.0,0.67459324155194,0.08776167471819644,0.20369751733465866,0.3495934959349593,0.12849837555908447,0.1409177135595201
2434,1984-01-01,0.0,0.67459324155194,0.08704724320156042,0.2016605421613121,0.3658536585365854,0.1153862964204024,0.14534354394803806
2435,1983-12-30,0.0,0.67459324155194,0.08704724320156042,0.2016605421613121,0.3658536585365854,0.1153862964204024,0.14534354394803806
2436,1983-12-23,0.0,0.6764705882352943,0.08704724320156042,0.2016605421613121,0.3658536585365854,0.1153862964204024,0.14534354394803806
2437,1983-12-16,0.0,0.6739674593241552,0.08704724320156042,0.2016605421613121,0.3658536585365854,0.1153862964204024,0.14534354394803806
2438,1983-12-09,0.0,0.6714643304130163,0.08704724320156042,0.2016605421613121,0.3658536585365854,0.1153862964204024,0.14534354394803806
2439,1983-12-02,0.0,0.6733416770963705,0.08704724320156042,0.2016605421613121,0.3658536585365854,0.1153862964204024,0.14534354394803806
2440,1983-12-01,0.0,0.6733416770963705,0.08704724320156042,0.1988087769186269,0.37398373983739847,0.1153862964204024,0.151613033859347
2441,1983-11-25,0.0,0.67459324155194,0.08704724320156042,0.1988087769186269,0.37398373983739847,0.1153862964204024,0.151613033859347
2442,1983-11-18,0.0,0.6739674593241552,0.08704724320156042,0.1988087769186269,0.37398373983739847,0.1153862964204024,0.151613033859347
2443,1983-11-11,0.0,0.6770963704630789,0.08704724320156042,0.1988087769186269,0.37398373983739847,0.1153862964204024,0.151613033859347
2444,1983-11-04,0.0,0.6739674593241552,0.08704724320156042,0.1988087769186269,0.37398373983739847,0.1153862964204024,0.151613033859347
2445,1983-11-01,0.0,0.6739674593241552,0.08704724320156042,0.19758659181461893,0.39024390243902435,0.1153862964204024,0.15432653500366522
2446,1983-10-28,0.0,0.67459324155194,0.08704724320156042,0.19758659181461893,0.39024390243902435,0.1153862964204024,0.15432653500366522
2447,1983-10-21,0.0,0.6802252816020026,0.08704724320156042,0.19758659181461893,0.39024390243902435,0.1153862964204024,0.15432653500366522
2448,1983-10-14,0.0,0.6852315394242804,0.08704724320156042,0.19758659181461893,0.39024390243902435,0.1153862964204024,0.15432653500366522
2449,1983-10-07,0.0,0.6846057571964956,0.08704724320156042,0.19758659181461893,0.39024390243902435,0.1153862964204024,0.15432653500366522
2450,1983-10-01,0.0,0.6846057571964956,0.08507405139370848,0.19636440671061098,0.4146341463414635,0.1153862964204024,0.15705618794050913
2451,1983-09-30,0.0,0.688360450563204,0.08507405139370848,0.19636440671061098,0.4146341463414635,0.1153862964204024,0.15705618794050913
2452,1983-09-23,0.0,0.6927409261576972,0.08507405139370848,0.19636440671061098,0.4146341463414635,0.1153862964204024,0.15705618794050913
2453,1983-09-16,0.0,0.6927409261576972,0.08507405139370848,0.19636440671061098,0.4146341463414635,0.1153862964204024,0.15705618794050913
2454,1983-09-09,0.0,0.6958698372966208,0.08507405139370848,0.19636440671061098,0.4146341463414635,0.1153862964204024,0.15705618794050913
2455,1983-09-02,0.0,0.6958698372966208,0.08507405139370848,0.19636440671061098,0.4146341463414635,0.1153862964204024,0.15705618794050913
